Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0113,Spa Injury,POL-GL-456789,2023-07-01,Client burned during laser hair removal,Bodily Injury,CA,2024-01-08,Luxe Medical Spa Beverly Hills,68000,18000,0,0,01/08/2024 - Client Stephanie Chen suffered severe burns during laser hair removal treatment on legs. Wrong settings used for skin type. | 01/09/2024 - Immediate medical attention required. Second and third-degree burns on both legs. Referred to burn specialist. | 01/12/2024 - Investigation reveals technician was not properly certified for laser operation. Falsified credentials discovered. | 01/18/2024 - Burn specialist confirms permanent scarring likely. Multiple skin graft procedures recommended. Client is model/actress. | 01/25/2024 - Attorney retained: Bloom Firm specializing in aesthetic injury cases. Career impact damages will be substantial. | 02/05/2024 - Medical costs mounting: Initial treatment $45K. Future surgeries estimated at $80K+. Career losses being calculated. | 02/15/2024 - California Medical Board investigating. Spa operating outside scope of license. Criminal charges possible. | 02/28/2024 - Quick settlement at $68K to avoid publicity. Client signed strict NDA. Spa agreed to cease laser treatments. | 03/10/2024 - Final release executed. Spa's insurance non-renewed. Regulatory actions pending.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0114,Warehouse Accident,POL-GL-678901,2024-02-01,Forklift struck visitor in warehouse,Bodily Injury,OH,2024-02-15,Midwest Distribution Center Inc,125000,28000,0,0,"02/15/2024 - Vendor representative struck by forklift while walking through warehouse. No designated pedestrian walkways marked. | 02/16/2024 - Victim: Robert Thompson, 52, sales rep. Crush injuries to right leg, compound fracture requiring multiple surgeries. | 02/18/2024 - Investigation: Forklift operator had obscured vision from overloaded pallet. No spotter used. Multiple safety violations. | 02/22/2024 - OSHA cited company for serious violations including lack of pedestrian separation and training deficiencies. | 03/01/2024 - Medical complications: Infection developed post-surgery. Amputation discussed as possibility. Victim diabetic. | 03/10/2024 - Legal counsel: Nurenberg, Paris, Heller & McCarthy. Known for workplace injury litigation. Significant demand expected. | 03/20/2024 - Amputation required below knee. Prosthetic fitting and extensive rehabilitation needed. Life care plan being developed. | 04/05/2024 - Settlement demand: $400K considering permanent disability and future medical needs. Negotiated to $125K. | 04/20/2024 - Claim resolved. Company implemented comprehensive warehouse safety program with physical barriers.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0115,Restaurant Allergy,POL-GL-890123,2023-09-01,Fatal allergic reaction despite allergy notification,Bodily Injury,NY,2024-03-10,Manhattan Bistro Group LLC,285000,76000,0,0,"03/10/2024 - Catastrophic incident: Customer died from anaphylactic shock after consuming dish containing peanuts despite clear allergy warning. | 03/11/2024 - Victim: Sarah Martinez, 34, mother of two. EpiPen administered but insufficient. Pronounced dead at hospital. | 03/13/2024 - Investigation: Server confirmed allergy notification. Kitchen used peanut oil in dish typically made without. No communication. | 03/18/2024 - Family devastated. Husband is NYPD officer. Two children ages 6 and 8. Wrongful death action anticipated. | 03/25/2024 - Attorney representation: Gair, Gair, Conason, Rubinowitz. Premier wrongful death firm. Multiple seven-figure verdicts. | 04/05/2024 - Discovery reveals pattern of allergy protocol violations. Health department found multiple violations during inspection. | 04/15/2024 - Economic loss substantial: Victim was marketing executive earning $150K annually. 30+ years of lost earnings. | 05/01/2024 - Settlement negotiations difficult. Family seeking $2M. Policy limits $1M. Personal assets of owner at risk. | 05/20/2024 - Settled at $285K from GL policy plus $215K from restaurant owner personally. Restaurant closed permanently.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0116,Gym Equipment,POL-GL-234567,2024-01-01,Cable snapped on weight machine causing injury,Bodily Injury,TX,2024-04-05,FitLife Gym Austin,76000,17000,0,0,"04/05/2024 - Cable on lat pulldown machine snapped during use. Bar struck member Jake Rodriguez in face and chest. | 04/06/2024 - Injuries documented: Broken nose, three broken ribs, severe facial lacerations requiring plastic surgery. | 04/10/2024 - Equipment inspection: Cable showed clear signs of fraying. Maintenance log falsified - no inspections in 6 months. | 04/15/2024 - Victim is personal trainer at competing gym. Facial scarring may impact his livelihood. Lost wages accumulating. | 04/22/2024 - Attorney engaged: The Carlson Law Firm. Premises liability and gross negligence claims filed. | 05/01/2024 - Other members coming forward about equipment concerns they reported that were ignored. Pattern of neglect. | 05/10/2024 - Medical bills: $58K including reconstructive surgery. Additional procedures may be needed. | 05/25/2024 - Settlement reached at $76K. Gym required to implement quarterly third-party equipment inspections. | 06/05/2024 - Claim closed. Gym's membership dropped 30% due to publicity. May not survive.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0117,School Bus Stop,POL-GL-456789,2023-11-01,Child injured at poorly designed bus stop,Bodily Injury,FL,2024-05-20,Sunshine Student Transport,145000,34000,0,0,"05/20/2024 - 7-year-old student struck by car while waiting at designated bus stop. Stop located on curve with no sidewalk. | 05/21/2024 - Child suffered traumatic brain injury, multiple fractures. Airlift to pediatric trauma center. Touch and go first 48 hours. | 05/23/2024 - Investigation: Multiple parents had complained about dangerous stop location. District took no action. | 05/28/2024 - Driver who struck child not at fault - couldn't see around curve. Full liability on district for stop placement. | 06/05/2024 - Child improving but facing long-term cognitive impacts. Special education services will be required. | 06/15/2024 - Parents retained Searcy Denney Scarola Barnhart & Shipley. Firm has history with school district negligence. | 06/25/2024 - Medical costs approaching $200K. Life care plan projects $1M+ in future care and education needs. | 07/10/2024 - School board emergency meeting. Public outrage over preventable injury. Superintendent resigned. | 07/20/2024 - Settled at $145K (policy sublimit for school transportation). District implementing comprehensive stop safety review.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0118,Retail Shooting,POL-GL-678901,2024-02-01,Active shooter in mall - inadequate security response,Bodily Injury,MI,2024-06-15,Great Lakes Shopping Center LLC,298000,89000,402000,61000,"06/15/2024 - Active shooter event at mall. Security guard fled instead of following protocol. Three shoppers shot, dozens injured in panic. | 06/16/2024 - Victims: Jennifer Walsh (paralyzed), David Kim (lost eye), Michael Brown (gunshot to shoulder). Shooter killed by police. | 06/18/2024 - Investigation: Security guard was not properly trained, failed background check that was ignored. No active shooter drills conducted. | 06/22/2024 - Prior incidents: Three violent crimes in past year. Security company recommended armed guards - mall refused due to cost. | 06/28/2024 - Mass litigation forming. Lead counsel: Fieger Law. Alleging gross negligence in security measures and training. | 07/05/2024 - Walsh's injuries catastrophic. T6 complete injury. Lifetime care costs estimated at $4M+. | 07/15/2024 - Media coverage national. Mall traffic down 60%. Multiple tenants threatening to break leases. | 07/25/2024 - Partial settlements for less severe injuries. Walsh claim will exceed primary limits. Excess carrier involved. | 08/01/2024 - Current status: $298K paid, $700K reserved. Bankruptcy being considered by mall ownership.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0119,Window Washing,POL-GL-890123,2023-08-01,Falling scaffold struck pedestrians,Bodily Injury,NY,2024-01-25,High Rise Maintenance Professionals,187000,44000,0,0,"01/25/2024 - Scaffold failure at 40-story building. Platform fell 15 floors before safety catches engaged. Debris rained on sidewalk. | 01/26/2024 - Two pedestrians struck by falling equipment. Margaret O'Brien (68) severe head trauma. Luis Garcia (35) broken shoulder. | 01/28/2024 - Investigation: Scaffold motor mount failed due to metal fatigue. No inspection records for critical components. | 02/02/2024 - O'Brien in coma for five days. Significant cognitive deficits emerging. May require lifetime care assistance. | 02/10/2024 - Building owner pointing to window washing contractor. Our insured had sole responsibility for equipment maintenance. | 02/20/2024 - Legal representation: O'Brien - Kramer, Dillof, Livingston & Moore. Garcia - Peña & Kahn. | 03/05/2024 - Department of Buildings issued stop work order. Criminal investigation for reckless endangerment initiated. | 03/25/2024 - Settlement negotiations complex due to O'Brien's ongoing deficits. Future care needs being evaluated. | 04/15/2024 - Resolved: O'Brien $145K, Garcia $42K. Company's license revoked. Criminal charges pending.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0120,Food Truck Fire,POL-GL-234567,2024-03-01,Grease fire injured customers in line,Bodily Injury,CA,2024-02-10,LA Street Eats,116000,24000,0,0,"02/10/2024 - Grease fire erupted from food truck. Flames shot out service window burning three customers waiting in line. | 02/11/2024 - Victims: Amy Chen (2nd degree burns face/arms), Robert Taylor (3rd degree hand), Maria Lopez (1st degree neck). | 02/13/2024 - Fire marshal: Grease trap hadn't been cleaned in months. Temperature controls malfunctioning. Owner knew of issues. | 02/18/2024 - Chen is Instagram influencer. Facial scarring affecting her career. Seeking plastic surgery consultations. | 02/25/2024 - Health department shut down all operator's trucks. Found violations at each location. Pattern of negligence. | 03/08/2024 - Attorneys retained: Chen - Panish Shea, others represented by Carpenter & Zuckerman. | 03/20/2024 - Medical costs: Chen $65K with future surgeries planned. Taylor $35K including skin grafts. Lopez $8K. | 04/05/2024 - Social media campaign against food truck. Business effectively destroyed. Assets being liquidated. | 04/20/2024 - Settled: Chen $75K, Taylor $35K, Lopez $6K. Operator filing bankruptcy. Claimants may get partial payment.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0121,Hotel Balcony,POL-GL-456789,2023-12-01,Balcony railing collapse at resort,Bodily Injury,HI,2024-03-28,Pacific Paradise Resort,265000,72000,0,0,03/28/2024 - Honeymooning couple leaned against balcony railing which gave way. Fell 20 feet to pool deck below. | 03/29/2024 - Victims: newlyweds Jason and Sarah Mitchell. Jason - spinal fractures. Sarah - traumatic brain injury. | 04/01/2024 - Engineering inspection: Railing posts completely rusted through at base. Ocean air corrosion never addressed. | 04/05/2024 - Prior incidents discovered. Maintenance reported loose railings building-wide. Management deferred repairs. | 04/12/2024 - Sarah still in coma. Jason paralyzed from waist down. Honeymoon became life-altering tragedy. | 04/20/2024 - Legal: Davis Levin Livingston representing. Hawaii premises liability law favorable. Seeking $5M+. | 05/01/2024 - Sarah emerged from coma but severe cognitive deficits. Both will need lifetime care. | 05/15/2024 - Resort's insurance primary limit $1M. Excess carriers involved. Personal assets of owners at risk. | 05/30/2024 - Settled at primary limits $265K. Additional settlements from excess and ownership pending.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0122,Trampoline Gym,POL-GL-678901,2024-01-01,Patron broke neck attempting flip,Bodily Injury,TX,2024-04-15,Austin Bounce Athletics,198000,56000,0,0,"04/15/2024 - Catastrophic injury at trampoline facility. Marcus Thompson (19) attempted double backflip, landed on neck. | 04/16/2024 - Immediate paralysis from C4 injury. Incomplete injury - some sensation below injury level. Hope for partial recovery. | 04/18/2024 - Investigation: Staff encouraged advanced tricks despite patron being novice. No progression requirements in place. | 04/22/2024 - Video evidence shows employee demonstrating flip and pushing patron to attempt. Clear liability established. | 04/28/2024 - Victim was college football recruit. Full scholarship lost. Lifetime of limitations ahead. | 05/05/2024 - Parents retained The Bassett Firm. Specialized in catastrophic injury. Demand will be seven figures. | 05/15/2024 - Medical costs already $150K. Lifetime care estimated at $3-4M. Negotiations difficult. | 05/30/2024 - Settled at $198K (policy limits). Family pursuing personal assets of owners. Facility closed. | 06/10/2024 - Final release complicated by minor status and future needs. Court approval required.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0123,Manufacturing Defect,POL-GL-890123,2023-10-01,Pressure cooker explosion in customer's home,Bodily Injury/Property Damage,OH,2024-05-22,Heartland Home Products,156000,38000,0,0,"05/22/2024 - Pressure cooker lid blew off during normal use. Patricia Murray suffered severe burns, kitchen destroyed. | 05/23/2024 - Victim airlifted to burn unit. 3rd degree burns on 30% of body. Long recovery ahead. | 05/25/2024 - Product inspection: Gasket defect prevented proper seal. Pressure gauge malfunctioned showing safe when over-pressure. | 05/30/2024 - Similar incidents emerging nationwide. CPSC investigation opened. Recall appears imminent. | 06/05/2024 - Murray spent three weeks in burn unit. Multiple surgeries, skin grafts. Permanent scarring. | 06/15/2024 - Attorney: Robert Peirce & Associates, Pittsburgh product liability firm. Class action potential. | 06/25/2024 - Property damage: $45K kitchen renovation needed. Additional living expenses during repairs. | 07/05/2024 - Medical bills exceeding $200K. Future surgeries needed. Settlement at $156K plus property. | 07/20/2024 - Recall announced. 50,000 units affected. Multiple lawsuits consolidated in MDL.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0124,Parking Lot Assault,POL-GL-234567,2024-02-01,Employee attacked in unlit parking area,Bodily Injury,GA,2024-06-30,Suburban Office Park LLC,132000,29000,0,0,"06/30/2024 - Jennifer Walsh attacked in parking lot at 7 PM leaving work. Area completely dark - lights out for weeks. | 07/01/2024 - Victim beaten and robbed. Severe head trauma, facial reconstruction needed. Assailant not caught. | 07/03/2024 - Prior crimes documented: 3 muggings in same lot over past year. Tenants complained repeatedly about lighting. | 07/08/2024 - Police report critical of property management. Deemed lighting 'grossly inadequate' for size of lot. | 07/15/2024 - Walsh suffered TBI symptoms: memory loss, cognitive delays. Cannot return to work as accountant. | 07/22/2024 - Ken Nugent Law representing. Premises liability clear given notice of dangerous condition. | 08/01/2024 - Security expert: $5K would have fixed lighting. Management saved money at tenant safety expense. | 08/15/2024 - Medical and lost wages exceeding $150K. Future care needs substantial. | 08/28/2024 - Settled $132K. Property management company lost major tenants. Forced to sell property.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0125,Day Care Pool,POL-GL-456789,2023-09-01,Toddler nearly drowned in day care pool,Bodily Injury,FL,2024-07-10,Tiny Tots Learning Center,225000,67000,0,0,"07/10/2024 - 3-year-old Sophia Chen found unconscious in facility pool. Staff member was texting, didn't notice child enter pool area. | 07/11/2024 - Child revived after 4 minutes CPR. Transported to pediatric ICU. Initial prognosis grave. | 07/12/2024 - Investigation: Pool gate left open. Required alarms disabled. Supervisor falsified safety check logs. | 07/15/2024 - Sophia showing signs of hypoxic brain injury. Seizures, developmental regression. May need lifetime care. | 07/20/2024 - State licensing emergency action. Facility shut down. Criminal charges against supervisor pending. | 07/25/2024 - Parents retained Grossman Roth Yaffa Cohen. Florida's leading child injury firm involved. | 08/05/2024 - Medical team confirms permanent cognitive impairment. Child who was meeting milestones now severely delayed. | 08/20/2024 - Life care plan developed: $2.5M for therapy, education, medical needs through adulthood. | 09/01/2024 - Settled at policy limits $225K. Parents pursuing personal assets of owners. Business destroyed.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0126,Concert Crowd Surge,POL-GL-678901,2024-03-01,Crowd crush at music festival injured dozens,Bodily Injury,CA,2024-01-20,Desert Music Productions,298000,89000,452000,91000,"01/20/2024 - Crowd surge during headliner performance. Barriers collapsed, security overwhelmed. 47 injured, 3 critical. | 01/21/2024 - Most serious: Emma Rodriguez (crushed ribs, punctured lung), Tyler Washington (trampled, head trauma), Ashley Kim (cardiac arrest from crushing). | 01/23/2024 - Investigation: Venue oversold by 5,000 tickets. Security staffing at 50% required levels. No crowd control plan. | 01/28/2024 - Video evidence shows security fleeing instead of helping. Fans had to pull victims out themselves. | 02/05/2024 - Mass litigation forming. Lead counsel: Girardi & Keese. Alleging gross negligence, seeking punitive damages. | 02/15/2024 - Rodriguez on ventilator for two weeks. Washington showing permanent cognitive deficits. Kim survived but with heart damage. | 02/25/2024 - Festival promoter's history exposed: Similar incidents at two prior events. Pattern of profit over safety. | 03/10/2024 - Partial settlements for minor injuries totaling $298K. Catastrophic cases ongoing. | 03/25/2024 - Reserve at $750K. Criminal investigation by DA. Promoter's license revoked. Festival brand toxic.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0127,Mechanical Bull,POL-GL-890123,2023-07-01,Patron thrown from mechanical bull at bar,Bodily Injury,TX,2024-02-25,Dallas Honky Tonk Saloon,87000,19000,0,0,"02/25/2024 - Drunk patron insisted on riding mechanical bull. Operator set to highest speed despite obvious intoxication. | 02/26/2024 - Victim Kyle Peterson thrown violently, landed head-first. Skull fracture, subdural hematoma. Emergency surgery. | 02/28/2024 - Investigation: Operator was drunk too. No safety mats around bull. Speed controls modified to go faster than manufacturer specs. | 03/05/2024 - Peterson survived but with permanent brain injury. Former engineer now unable to work. Personality changes. | 03/12/2024 - Video shows staff laughing as patron was thrown. Posted on social media before deleting. | 03/20/2024 - Attorney: Thompson & Knight LLP. Dram shop and premises liability claims. Punitive damages sought. | 04/01/2024 - Medical bills $125K and ongoing. Lost earnings calculated at $2M over career. | 04/15/2024 - TABC investigation resulted in license suspension. Bar's reputation destroyed. | 04/30/2024 - Settled $87K. Bar filed bankruptcy shortly after. Limited recovery for plaintiff.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0128,Escape Room Fire,POL-GL-234567,2024-01-01,Patrons trapped when escape room caught fire,Bodily Injury,IL,2024-03-15,Mystic Escape Chicago,245000,71000,0,0,03/15/2024 - Electrical fire in escape room with 6 patrons locked inside. Emergency exit was part of puzzle - not functional. | 03/16/2024 - Four patrons suffered smoke inhalation. Rachel Green (26) severe - on ventilator. Brian Davis (34) burned trying to break door. | 03/18/2024 - Fire marshal: Exit doors required to open outward were locked electronically. No manual override. Code violations extensive. | 03/22/2024 - Prior complaints found: Patrons previously reported unsafe conditions. City failed to inspect. | 03/28/2024 - Green developed ARDS from smoke inhalation. May have permanent lung scarring. Davis needs skin grafts. | 04/05/2024 - Legal team assembled: Clifford Law Offices as lead. City named as co-defendant for inspection failures. | 04/15/2024 - Criminal charges filed against owners for reckless endangerment. Business license revoked. | 04/30/2024 - Medical costs exceeding $300K combined. Future care needs being assessed. | 05/15/2024 - Global settlement $245K from GL carrier. City contributing additional funds. Criminal case pending.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0129,Ski Lift Fall,POL-GL-456789,2023-12-01,Child fell from ski lift due to restraint failure,Bodily Injury,CO,2024-04-05,Rocky Mountain Winter Resort,178000,42000,0,0,"04/05/2024 - 8-year-old Maya Patel fell 25 feet from ski lift when restraint bar failed. Dad watched helplessly from same chair. | 04/06/2024 - Injuries severe: Fractured spine, pelvis, internal bleeding. Pediatric trauma team worked through night. | 04/08/2024 - Investigation: Restraint bar locking mechanism worn out. Inspection records appear falsified. | 04/12/2024 - Child facing months of recovery. Spinal fusion surgery scheduled. Long-term prognosis uncertain. | 04/18/2024 - Prior incidents: Three similar restraint failures reported to resort. All involved children. No corrective action. | 04/25/2024 - Parents retained Holland & Hart. Resort's pattern of deferred maintenance will be focus. | 05/05/2024 - Surgery successful but child may have permanent limitations. Dance and sports likely impossible. | 05/20/2024 - Emotional trauma significant. Both child and father in therapy. Family dynamics strained. | 06/05/2024 - Settlement $178K includes future medical and psychological care. Resort implementing new safety protocols.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0130,Uber/Lyft Assault,POL-GL-678901,2024-02-01,Rideshare driver assaulted passenger,Bodily Injury,CA,2024-05-18,Premier Transportation Services,165000,44000,0,0,"05/18/2024 - Female passenger assaulted by rideshare driver working for our insured's platform. Driver had prior complaints. | 05/19/2024 - Victim: Amanda Torres (28) graduate student. Attempted sexual assault, fought off attacker, jumped from moving vehicle. | 05/21/2024 - Injuries: Road rash, fractured wrist, psychological trauma. Attacker arrested based on app records. | 05/25/2024 - Background check failures: Driver had assault conviction. System glitch allowed approval. | 05/30/2024 - Prior complaints discovered: Three female passengers reported uncomfortable behavior. No action taken. | 06/05/2024 - Attorney: Gloria Allred representing. High-profile case with media attention. Policy changes demanded. | 06/15/2024 - Criminal case: Driver pled guilty. Victim impact statement heartbreaking. PTSD ongoing. | 06/30/2024 - Company's negligent screening practices exposed. Multiple similar incidents at other companies. | 07/15/2024 - Settled $165K plus agreement to enhance driver screening. Victim advocate role created.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0131,Theme Park Rapids,POL-GL-890123,2023-08-01,Log flume accident ejected riders,Bodily Injury,FL,2024-06-25,Florida Family Fun Park,234000,61000,0,0,"06/25/2024 - Log flume boat hit obstruction at high speed, ejecting family of four into concrete channel. | 06/26/2024 - Injuries: Father (concussion), Mother (broken ribs), Son 12 (fractured skull), Daughter 8 (broken arm, psychological trauma). | 06/28/2024 - Investigation: Maintenance item fell into flume track. Staff knew but didn't shut down ride to remove. | 07/02/2024 - Son's injuries most severe. Skull fracture caused brain bleed. Emergency surgery saved life but deficits remain. | 07/08/2024 - State investigation found systemic maintenance failures. Profits prioritized over safety. | 07/15/2024 - Orlando Sentinel investigation exposed 47 injuries at park in past 2 years, mostly unreported. | 07/25/2024 - Family retained Morgan & Morgan. Seeking damages for negligence and punitive for conscious disregard. | 08/05/2024 - Medical bills exceeding $200K. Son requires special education services now. | 08/20/2024 - Settled $234K to avoid trial. Park attendance plummeted. May not survive scandal.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0132,Airbnb Collapse,POL-GL-234567,2024-03-01,Deck collapse at rental property injured guests,Bodily Injury/Property Damage,NC,2024-07-15,Coastal Vacation Rentals LLC,198000,47000,0,0,"07/15/2024 - Deck collapsed during family reunion at beach rental. 12 people fell 15 feet, grill explosion caused burns. | 07/16/2024 - Injuries: Three with broken bones, two with burns from propane grill, remainder cuts and bruises. | 07/18/2024 - Inspection: Deck joists rotted through. Multiple code violations. Never inspected despite rental use. | 07/22/2024 - Most serious: Grandmother Betty Wilson (72) broke hip and pelvis. May never walk normally again. | 07/28/2024 - Property owner knew of deck issues. Previous renters complained of bouncing/sagging. | 08/05/2024 - Legal representation: Whitley Law Firm for family. Premises liability and negligence per se for code violations. | 08/15/2024 - Medical costs totaling $165K. Wilson needs hip replacement and extensive rehab. | 08/25/2024 - City shut down all owner's rental properties. Found violations at each one. | 09/05/2024 - Settled $198K. Owner's rental empire collapsed. Properties being sold for victim compensation.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0133,Boat Tour Accident,POL-GL-456789,2023-11-01,Tour boat struck bridge injuring passengers,Bodily Injury,IL,2024-01-30,Chicago River Tours Inc,167000,39000,0,0,"01/30/2024 - Tour boat captain misjudged clearance, upper deck struck bridge. 15 passengers injured, 3 seriously. | 01/31/2024 - Captain tested positive for marijuana. Coast Guard investigation launched immediately. | 02/02/2024 - Serious injuries: Janet Lee (facial reconstruction needed), Paul Martinez (spinal compression), Amy Chen (severe concussion). | 02/05/2024 - Previous incidents: Same captain had two prior accidents. Company kept him due to staffing shortages. | 02/10/2024 - Weather was clear, no excuse for accident. Multiple witnesses say captain was on phone. | 02/20/2024 - Victims organizing group lawsuit. Romanucci & Blandin leading litigation. | 03/01/2024 - Coast Guard pulled company's license. Criminal charges against captain filed. | 03/15/2024 - Medical bills combined exceeding $200K. Lee needs multiple surgeries. | 03/30/2024 - Settled $167K divided among victims. Company ceased operations. Assets liquidated.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0134,Gym Steam Room,POL-GL-678901,2024-01-01,Steam room malfunction caused severe burns,Bodily Injury,NY,2024-02-20,Manhattan Elite Fitness,142000,31000,0,0,"02/20/2024 - Steam room thermostat failed, temperature exceeded 200°F. Three members trapped when door jammed. | 02/21/2024 - Victims: Dr. Michael Chang (2nd degree burns 40% body), Lisa Thompson (respiratory burns), David Park (1st degree burns, heat exhaustion). | 02/23/2024 - Investigation: Thermostat recalled by manufacturer 6 months ago. Gym never performed replacement. | 02/28/2024 - Door mechanism corroded from steam. Emergency button inside non-functional. No staff monitoring. | 03/05/2024 - Dr. Chang in burn unit for 2 weeks. Scarring will require multiple surgeries. Career as surgeon impacted. | 03/15/2024 - Attorney team: Block O'Toole & Murphy for Chang, others also represented. Clear liability. | 03/25/2024 - Health Department shut facility. Found numerous violations including Legionella in water system. | 04/10/2024 - Medical costs: Chang $195K and rising. Others $45K combined. | 04/25/2024 - Settled $142K. Gym's insurance non-renewed. Reputation destroyed, membership exodus.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0135,Zipline Failure,POL-GL-890123,2023-06-01,Zipline brake failure caused high-speed collision,Bodily Injury,TN,2024-03-30,Smoky Mountain Adventures,156000,37000,0,0,"03/30/2024 - Zipline braking system failed. Rider Jake Thompson hit platform at 40mph. Catastrophic injuries. | 03/31/2024 - Injuries: Shattered pelvis, internal bleeding, traumatic brain injury. Touch-and-go first 48 hours. | 04/02/2024 - Investigation: Brake pads worn to metal. Inspection records falsified to show recent replacement. | 04/05/2024 - Victim was about to propose to girlfriend on trip. Ring found in his pocket at hospital. | 04/10/2024 - Prior incidents: Two other brake failures in past year. Both resulted in injuries, neither reported to state. | 04/20/2024 - Thompson improving but facing years of rehab. May never walk without assistance. Engagement on hold. | 05/01/2024 - Parents retained Rocky McElhaney Law Firm. Known for adventure sport litigation. | 05/15/2024 - Criminal charges filed for reckless endangerment. State shut down all ziplines pending inspection. | 05/30/2024 - Settled $156K. Company owner fled state. Assets seized for victim compensation.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0136,Haunted House,POL-GL-234567,2024-01-01,Actor's chainsaw prop malfunctioned causing injury,Bodily Injury,OH,2024-04-10,Nightmare Productions LLC,73000,18000,0,0,04/10/2024 - Haunted house actor's chainsaw (real but modified) started unexpectedly. Cut patron's arm severely. | 04/11/2024 - Victim: Sarah Mitchell (22) nursing student. Deep laceration requiring microsurgery to repair tendons. | 04/13/2024 - Investigation: Chainsaw supposed to have chain removed. Actor grabbed wrong prop in dark. | 04/15/2024 - Prior safety issues: Three injuries previous season. No safety protocols for weapon props. | 04/20/2024 - Mitchell's career jeopardized. Limited mobility in hand affecting clinical skills. May need to change careers. | 04/28/2024 - Attorney: Lowe Scott Fisher. Premises liability and negligent training claims. | 05/10/2024 - Medical bills $58K including specialized hand therapy. Future surgeries possible. | 05/25/2024 - State investigating all haunted attractions. Industry-wide safety reforms expected. | 06/10/2024 - Settled $73K. Attraction implementing broadway-style prop management system.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0137,Tanning Salon Fire,POL-GL-456789,2023-09-01,Electrical fire in tanning bed room,Bodily Injury,NJ,2024-05-20,Bronze Glow Tanning Studios,124000,29000,0,0,"05/20/2024 - Tanning bed electrical fire with customer inside. Door jammed due to heat warping. Customer trapped. | 05/21/2024 - Victim: Jennifer Walsh (28) suffered smoke inhalation, burns to feet from hot floor. Psychological trauma severe. | 05/23/2024 - Investigation: Bed's wiring was DIY repair. Not certified electrician. Multiple code violations found. | 05/27/2024 - Prior fires: Two small electrical fires in past year. Owner did own repairs to save money. | 06/02/2024 - Walsh developed PTSD. Cannot be in small spaces. Lost job due to inability to use elevators. | 06/10/2024 - Fire spread to adjacent businesses. Additional property damage claims emerging. | 06/20/2024 - Attorney: Mazie Slater Katz & Freeman. Pattern of electrical negligence will be highlighted. | 07/01/2024 - Total medical and therapy costs $89K. Lost wages ongoing. | 07/15/2024 - Settled $124K. Criminal charges for code violations filed. Business license revoked.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0138,Go-Kart DUI,POL-GL-678901,2024-02-01,Drunk go-kart driver injured child,Bodily Injury,GA,2024-06-30,Atlanta Grand Prix Karting,198000,52000,0,0,"06/30/2024 - Adult driver intoxicated at go-kart facility, crossed into children's track area. Head-on collision with 10-year-old. | 07/01/2024 - Child victim: Marcus Johnson. Fractured ribs, punctured lung, severe whiplash. Adult had .15 BAC. | 07/03/2024 - Investigation: Facility served alcohol to driver. No policies preventing drunk driving on tracks. | 07/05/2024 - Prior incidents: Multiple complaints about mixing alcohol service with go-kart operation. | 07/10/2024 - Marcus required chest tube, hospitalized 10 days. Missing summer baseball season he trained for. | 07/18/2024 - Parents retained Butler Law Firm. Dram shop and premises liability claims strong. | 07/25/2024 - Other families coming forward about near-misses with intoxicated drivers. Pattern clear. | 08/05/2024 - Medical bills $145K. Child traumatized, won't participate in sports anymore. | 08/20/2024 - Settled $198K. Facility agreed to stop alcohol service. License under review.",,,,,,,,,,,,,,,,,,,,,,,,,,
